TANGGAL,BARANG,SUPLIER,BULAN,TAHUN,KUARTAL,JUMLAH,HARGA,TOTAL
22/10/16,Kencur,Painah,October,2016,Kuartal 4,91, IDR8.877 , IDR807.807 
27/10/16,Jahe,Painah,October,2016,Kuartal 4,149, IDR21.266 , IDR3.168.634 
05/11/16,Cabai,Bejo,November,2016,Kuartal 4,169, IDR28.665 , IDR4.844.385 
07/11/16,Kunyit,Painah,November,2016,Kuartal 4,112, IDR14.881 , IDR1.666.672 
15/11/16,Bawang Merah,Painah,November,2016,Kuartal 4,106, IDR24.265 , IDR2.572.090 
20/11/16,Bawang Putih,Painah,November,2016,Kuartal 4,53, IDR20.437 , IDR1.083.161 
23/11/16,Kencur,Tarno,November,2016,Kuartal 4,158, IDR9.762 , IDR1.542.396 
29/11/16,Jahe,Painah,November,2016,Kuartal 4,147, IDR21.249 , IDR3.123.603 
03/12/16,Cabai,Tarno,December,2016,Kuartal 4,150, IDR33.900 , IDR5.085.000 
07/12/16,Kunyit,Painah,December,2016,Kuartal 4,164, IDR12.735 , IDR2.088.540 
13/12/16,Bawang Merah,Tarno,December,2016,Kuartal 4,111, IDR26.548 , IDR2.946.828 
16/12/16,Bawang Putih,Bejo,December,2016,Kuartal 4,198, IDR20.970 , IDR4.152.060 
22/12/16,Kencur,Tarno,December,2016,Kuartal 4,66, IDR9.933 , IDR655.578 
26/12/16,Jahe,Bejo,December,2016,Kuartal 4,116, IDR23.035 , IDR2.672.060 
01/01/17,Cabai,Bejo,January,2017,Kuartal 1,53, IDR25.866 , IDR1.370.898 
10/01/17,Kunyit,Tarno,January,2017,Kuartal 1,166, IDR11.271 , IDR1.870.986 
12/01/17,Bawang Merah,Bejo,January,2017,Kuartal 1,87, IDR29.159 , IDR2.536.833 
18/01/17,Bawang Putih,Painah,January,2017,Kuartal 1,62, IDR23.675 , IDR1.467.850 
23/01/17,Kencur,Tarno,January,2017,Kuartal 1,86, IDR8.631 , IDR742.266 
28/01/17,Jahe,Bejo,January,2017,Kuartal 1,177, IDR23.878 , IDR4.226.406 
05/02/17,Cabai,Painah,February,2017,Kuartal 1,111, IDR26.216 , IDR2.909.976 
08/02/17,Kunyit,Painah,February,2017,Kuartal 1,60, IDR10.637 , IDR638.220 
13/02/17,Bawang Merah,Bejo,February,2017,Kuartal 1,129, IDR25.160 , IDR3.245.640 
16/02/17,Bawang Putih,Painah,February,2017,Kuartal 1,115, IDR20.127 , IDR2.314.605 
23/02/17,Kencur,Bejo,February,2017,Kuartal 1,133, IDR8.764 , IDR1.165.612 
26/02/17,Jahe,Painah,February,2017,Kuartal 1,152, IDR21.713 , IDR3.300.376 
04/03/17,Cabai,Bejo,March,2017,Kuartal 1,57, IDR26.438 , IDR1.506.966 
08/03/17,Kunyit,Bejo,March,2017,Kuartal 1,172, IDR11.515 , IDR1.980.580 
13/03/17,Bawang Merah,Bejo,March,2017,Kuartal 1,192, IDR24.342 , IDR4.673.664 
20/03/17,Bawang Putih,Painah,March,2017,Kuartal 1,178, IDR23.482 , IDR4.179.796 
22/03/17,Kencur,Painah,March,2017,Kuartal 1,121, IDR8.383 , IDR1.014.343 
29/03/17,Jahe,Bejo,March,2017,Kuartal 1,106, IDR24.735 , IDR2.621.910 
03/04/17,Cabai,Painah,April,2017,Kuartal 2,138, IDR33.609 , IDR4.638.042 
07/04/17,Kunyit,Painah,April,2017,Kuartal 2,53, IDR12.052 , IDR638.756 
11/04/17,Bawang Merah,Tarno,April,2017,Kuartal 2,105, IDR23.765 , IDR2.495.325 
18/04/17,Bawang Putih,Tarno,April,2017,Kuartal 2,66, IDR21.479 , IDR1.417.614 
23/04/17,Kencur,Tarno,April,2017,Kuartal 2,76, IDR8.629 , IDR655.804 
26/04/17,Jahe,Bejo,April,2017,Kuartal 2,67, IDR22.105 , IDR1.481.035 
02/05/17,Cabai,Bejo,May,2017,Kuartal 2,99, IDR25.385 , IDR2.513.115 
09/05/17,Kunyit,Tarno,May,2017,Kuartal 2,145, IDR13.396 , IDR1.942.420 
12/05/17,Bawang Merah,Painah,May,2017,Kuartal 2,157, IDR27.074 , IDR4.250.618 
20/05/17,Bawang Putih,Painah,May,2017,Kuartal 2,182, IDR22.461 , IDR4.087.902 
24/05/17,Kencur,Painah,May,2017,Kuartal 2,162, IDR8.605 , IDR1.394.010 
29/05/17,Jahe,Painah,May,2017,Kuartal 2,162, IDR21.082 , IDR3.415.284 
05/06/17,Cabai,Tarno,June,2017,Kuartal 2,194, IDR26.182 , IDR5.079.308 
09/06/17,Kunyit,Bejo,June,2017,Kuartal 2,57, IDR14.387 , IDR820.059 
11/06/17,Bawang Merah,Painah,June,2017,Kuartal 2,165, IDR26.238 , IDR4.329.270 
18/06/17,Bawang Putih,Bejo,June,2017,Kuartal 2,195, IDR21.943 , IDR4.278.885 
24/06/17,Kencur,Bejo,June,2017,Kuartal 2,182, IDR9.451 , IDR1.720.082 
29/06/17,Jahe,Bejo,June,2017,Kuartal 2,158, IDR23.411 , IDR3.698.938 
02/07/17,Cabai,Bejo,July,2017,Kuartal 3,152, IDR32.143 , IDR4.885.736 
07/07/17,Kunyit,Painah,July,2017,Kuartal 3,102, IDR13.817 , IDR1.409.334 
11/07/17,Bawang Merah,Painah,July,2017,Kuartal 3,149, IDR25.001 , IDR3.725.149 
16/07/17,Bawang Putih,Tarno,July,2017,Kuartal 3,200, IDR21.836 , IDR4.367.200 
23/07/17,Kencur,Bejo,July,2017,Kuartal 3,53, IDR9.751 , IDR516.803 
28/07/17,Jahe,Bejo,July,2017,Kuartal 3,186, IDR24.751 , IDR4.603.686 
04/08/17,Cabai,Tarno,August,2017,Kuartal 3,161, IDR29.145 , IDR4.692.345 
10/08/17,Kunyit,Tarno,August,2017,Kuartal 3,182, IDR13.560 , IDR2.467.920 
11/08/17,Bawang Merah,Painah,August,2017,Kuartal 3,99, IDR26.867 , IDR2.659.833 
19/08/17,Bawang Putih,Painah,August,2017,Kuartal 3,138, IDR21.498 , IDR2.966.724 
23/08/17,Kencur,Tarno,August,2017,Kuartal 3,68, IDR8.305 , IDR564.740 
27/08/17,Jahe,Painah,August,2017,Kuartal 3,87, IDR23.411 , IDR2.036.757 
05/09/17,Cabai,Painah,September,2017,Kuartal 3,140, IDR33.820 , IDR4.734.800 
06/09/17,Kunyit,Bejo,September,2017,Kuartal 3,66, IDR14.119 , IDR931.854 
14/09/17,Bawang Merah,Painah,September,2017,Kuartal 3,182, IDR29.187 , IDR5.312.034 
16/09/17,Bawang Putih,Tarno,September,2017,Kuartal 3,168, IDR21.500 , IDR3.612.000 
22/09/17,Kencur,Tarno,September,2017,Kuartal 3,148, IDR8.215 , IDR1.215.820 
26/09/17,Jahe,Bejo,September,2017,Kuartal 3,153, IDR24.888 , IDR3.807.864 
04/10/17,Cabai,Painah,October,2017,Kuartal 4,162, IDR25.193 , IDR4.081.266 
07/10/17,Kunyit,Painah,October,2017,Kuartal 4,143, IDR13.838 , IDR1.978.834 
14/10/17,Bawang Merah,Tarno,October,2017,Kuartal 4,92, IDR22.807 , IDR2.098.244 
20/10/17,Bawang Putih,Tarno,October,2017,Kuartal 4,121, IDR22.254 , IDR2.692.734 
23/10/17,Kencur,Bejo,October,2017,Kuartal 4,52, IDR9.234 , IDR480.168 
28/10/17,Jahe,Painah,October,2017,Kuartal 4,93, IDR24.481 , IDR2.276.733 
03/11/17,Cabai,Painah,November,2017,Kuartal 4,191, IDR27.063 , IDR5.169.033 
08/11/17,Kunyit,Painah,November,2017,Kuartal 4,196, IDR13.331 , IDR2.612.876 
15/11/17,Bawang Merah,Tarno,November,2017,Kuartal 4,113, IDR26.947 , IDR3.045.011 
17/11/17,Bawang Putih,Painah,November,2017,Kuartal 4,52, IDR21.943 , IDR1.141.036 
21/11/17,Kencur,Painah,November,2017,Kuartal 4,167, IDR9.881 , IDR1.650.127 
27/11/17,Jahe,Bejo,November,2017,Kuartal 4,127, IDR20.150 , IDR2.559.050 
04/12/17,Cabai,Bejo,December,2017,Kuartal 4,154, IDR29.784 , IDR4.586.736 
07/12/17,Kunyit,Bejo,December,2017,Kuartal 4,77, IDR13.604 , IDR1.047.508 
12/12/17,Bawang Merah,Painah,December,2017,Kuartal 4,104, IDR24.709 , IDR2.569.736 
18/12/17,Bawang Putih,Tarno,December,2017,Kuartal 4,124, IDR22.074 , IDR2.737.176 
22/12/17,Kencur,Bejo,December,2017,Kuartal 4,128, IDR8.965 , IDR1.147.520 
26/12/17,Jahe,Painah,December,2017,Kuartal 4,191, IDR22.493 , IDR4.296.163 
