ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Mount Road ATM,23/01/11,134,352100,65803969,Sunday
Airport ATM,23/01/11,87,288500,53917765,Sunday
KK Nagar ATM,23/01/11,110,290000,54198100,Sunday
Christ College ATM,23/01/11,45,212500,39714125,Sunday
Big Street ATM,24/01/11,26,103900,19417871,Monday
Mount Road ATM,24/01/11,153,498900,93239421,Monday
Airport ATM,24/01/11,85,247800,46311342,Monday
KK Nagar ATM,24/01/11,207,800500,149605445,Monday
Christ College ATM,24/01/11,100,410800,76774412,Monday
Big Street ATM,25/01/11,39,139900,26145911,Tuesday
Mount Road ATM,25/01/11,140,439300,82100777,Tuesday
Airport ATM,25/01/11,83,363100,67859759,Tuesday
KK Nagar ATM,25/01/11,178,617000,115311130,Tuesday
Christ College ATM,25/01/11,89,325900,60907451,Tuesday
Big Street ATM,26/01/11,18,40500,7569045,Wednesday
Mount Road ATM,26/01/11,134,255400,47731706,Wednesday
Airport ATM,26/01/11,91,248200,46386098,Wednesday
KK Nagar ATM,26/01/11,157,485900,90809851,Wednesday
Christ College ATM,26/01/11,69,258400,48292376,Wednesday
Big Street ATM,27/01/11,26,83300,15567937,Thursday
Mount Road ATM,27/01/11,147,461500,86249735,Thursday
Airport ATM,27/01/11,93,402100,75148469,Thursday
KK Nagar ATM,27/01/11,181,722900,135102781,Thursday
Christ College ATM,27/01/11,96,336300,62851107,Thursday
Big Street ATM,28/01/11,22,71300,13325257,Friday
Mount Road ATM,28/01/11,126,336300,62851107,Friday
Airport ATM,28/01/11,77,191800,35845502,Friday
KK Nagar ATM,28/01/11,193,874200,163379238,Friday
Christ College ATM,28/01/11,77,254500,47563505,Friday
Big Street ATM,29/01/11,53,163500,30556515,Saturday
Mount Road ATM,29/01/11,124,428000,79988920,Saturday
Airport ATM,29/01/11,82,384600,71877894,Saturday
KK Nagar ATM,29/01/11,269,1082200,202252358,Saturday
Christ College ATM,29/01/11,87,463400,86604826,Saturday
Big Street ATM,30/01/11,18,41100,7681179,Sunday
Mount Road ATM,30/01/11,137,296400,55394196,Sunday
Airport ATM,30/01/11,58,194400,36331416,Sunday
KK Nagar ATM,30/01/11,143,517100,96640819,Sunday
Christ College ATM,30/01/11,75,277200,51805908,Sunday
Big Street ATM,31/01/11,23,70800,13231812,Monday
Mount Road ATM,31/01/11,142,515100,96267039,Monday
Airport ATM,31/01/11,96,526000,98304140,Monday
KK Nagar ATM,31/01/11,302,1310300,244881967,Monday
Christ College ATM,31/01/11,91,369100,68981099,Monday
Big Street ATM,01/02/11,36,161700,30220113,Tuesday
Mount Road ATM,01/02/11,164,631800,118077102,Tuesday
Airport ATM,01/02/11,105,578100,108041109,Tuesday
KK Nagar ATM,01/02/11,221,958300,179096687,Tuesday
Christ College ATM,01/02/11,97,432000,80736480,Tuesday
Big Street ATM,02/02/11,19,79200,14801688,Wednesday
Mount Road ATM,02/02/11,164,714900,133607661,Wednesday
Airport ATM,02/02/11,104,472000,88212080,Wednesday
KK Nagar ATM,02/02/11,271,1159900,216773711,Wednesday
Christ College ATM,02/02/11,133,714600,133551594,Wednesday
Big Street ATM,03/02/11,40,167800,31360142,Thursday
Mount Road ATM,03/02/11,170,593000,110825770,Thursday
Airport ATM,03/02/11,114,467800,87427142,Thursday
KK Nagar ATM,03/02/11,198,823400,153885226,Thursday
Christ College ATM,03/02/11,80,359800,67243022,Thursday
Big Street ATM,04/02/11,28,112700,21062503,Friday
Mount Road ATM,04/02/11,185,615700,115068173,Friday
Airport ATM,04/02/11,114,534800,99948772,Friday
KK Nagar ATM,04/02/11,221,919100,171770599,Friday
Christ College ATM,04/02/11,78,382500,71485425,Friday
Big Street ATM,05/02/11,23,144000,26912160,Saturday
Mount Road ATM,05/02/11,249,1007100,188216919,Saturday
Airport ATM,05/02/11,110,520200,97220178,Saturday
KK Nagar ATM,05/02/11,203,767500,143438075,Saturday
Christ College ATM,05/02/11,100,429800,80325322,Saturday
Big Street ATM,06/02/11,32,110400,20632656,Sunday
Mount Road ATM,06/02/11,175,499900,93426311,Sunday
Airport ATM,06/02/11,128,478900,89501621,Sunday
KK Nagar ATM,06/02/11,159,387400,72401186,Sunday
Christ College ATM,06/02/11,92,292300,54627947,Sunday
Big Street ATM,07/02/11,28,80300,15007267,Monday
Mount Road ATM,07/02/11,176,622800,116395092,Monday
Airport ATM,07/02/11,110,440400,82306356,Monday
KK Nagar ATM,07/02/11,223,849600,158781744,Monday
Christ College ATM,07/02/11,110,430000,80362700,Monday
Big Street ATM,08/02/11,42,175300,32761817,Tuesday
Mount Road ATM,08/02/11,198,620200,115909178,Tuesday
Airport ATM,08/02/11,121,609200,113853388,Tuesday
KK Nagar ATM,08/02/11,209,798000,149138220,Tuesday
Christ College ATM,08/02/11,93,343000,64103270,Tuesday
Big Street ATM,09/02/11,32,94600,17679794,Wednesday
Mount Road ATM,09/02/11,176,649100,121310299,Wednesday
Airport ATM,09/02/11,108,507800,94902742,Wednesday
KK Nagar ATM,09/02/11,225,1003900,187618871,Wednesday
Christ College ATM,09/02/11,81,381600,71317224,Wednesday
Big Street ATM,10/02/11,31,78100,14596109,Thursday
Mount Road ATM,10/02/11,175,508500,95033565,Thursday
Airport ATM,10/02/11,107,456800,85371352,Thursday
KK Nagar ATM,10/02/11,198,767000,143344630,Thursday
Christ College ATM,10/02/11,91,348300,65093787,Thursday
Big Street ATM,11/02/11,31,107400,20071986,Friday
Mount Road ATM,11/02/11,168,462500,86436625,Friday
Airport ATM,11/02/11,80,406100,75896029,Friday
KK Nagar ATM,11/02/11,177,615500,115030795,Friday
Christ College ATM,11/02/11,78,413300,77241637,Friday
Big Street ATM,12/02/11,45,143200,26762648,Saturday
Mount Road ATM,12/02/11,172,357100,66738419,Saturday
Airport ATM,12/02/11,116,429200,80213188,Saturday
KK Nagar ATM,12/02/11,227,802500,149979225,Saturday
Christ College ATM,12/02/11,99,452900,84642481,Saturday
Big Street ATM,13/02/11,28,74900,13998061,Sunday
Mount Road ATM,13/02/11,145,359400,67168266,Sunday
Airport ATM,13/02/11,91,288100,53843009,Sunday
KK Nagar ATM,13/02/11,137,370700,69280123,Sunday
Christ College ATM,13/02/11,40,119000,22239910,Sunday
Big Street ATM,14/02/11,33,117000,21866130,Monday
Mount Road ATM,14/02/11,153,413100,77204259,Monday
Airport ATM,14/02/11,86,365800,68364362,Monday
KK Nagar ATM,14/02/11,207,791300,147886057,Monday
Christ College ATM,14/02/11,38,173100,32350659,Monday
Big Street ATM,15/02/11,34,123700,23118293,Tuesday
Mount Road ATM,15/02/11,154,499900,93426311,Tuesday
Airport ATM,15/02/11,98,362000,67654180,Tuesday
KK Nagar ATM,15/02/11,208,890100,166350789,Tuesday
Christ College ATM,15/02/11,93,357700,66850553,Tuesday
Big Street ATM,16/02/11,14,23700,4429293,Wednesday
Mount Road ATM,16/02/11,131,317300,59300197,Wednesday
Airport ATM,16/02/11,65,277900,51936731,Wednesday
KK Nagar ATM,16/02/11,162,482200,90118358,Wednesday
Christ College ATM,16/02/11,55,147100,27491519,Wednesday
Big Street ATM,17/02/11,26,99700,18632933,Thursday
Mount Road ATM,17/02/11,160,549900,102770811,Thursday
Airport ATM,17/02/11,77,292300,54627947,Thursday
KK Nagar ATM,17/02/11,230,998300,186572287,Thursday
Christ College ATM,17/02/11,77,292600,54684014,Thursday
Big Street ATM,18/02/11,35,141800,26501002,Friday
Mount Road ATM,18/02/11,167,484200,90492138,Friday
Airport ATM,18/02/11,64,242200,45264758,Friday
KK Nagar ATM,18/02/11,159,543000,101481270,Friday
Christ College ATM,18/02/11,66,200600,37490134,Friday
Big Street ATM,19/02/11,15,54300,10148127,Saturday
Mount Road ATM,19/02/11,185,441400,82493246,Saturday
Airport ATM,19/02/11,113,454200,84885438,Saturday
KK Nagar ATM,19/02/11,198,858300,160407687,Saturday
Christ College ATM,19/02/11,74,399800,74718622,Saturday
Big Street ATM,20/02/11,20,56000,10465840,Sunday
Mount Road ATM,20/02/11,165,407300,76120297,Sunday
Airport ATM,20/02/11,101,347800,65000342,Sunday
KK Nagar ATM,20/02/11,132,302100,56459469,Sunday
Christ College ATM,20/02/11,62,169400,31659166,Sunday
Big Street ATM,21/02/11,23,64200,11998338,Monday
Mount Road ATM,21/02/11,158,456400,85296596,Monday
Airport ATM,21/02/11,72,285600,53375784,Monday
KK Nagar ATM,21/02/11,176,659200,123197888,Monday
Christ College ATM,21/02/11,61,143200,26762648,Monday
Big Street ATM,22/02/11,35,142500,26631825,Tuesday
Mount Road ATM,22/02/11,145,479200,89557688,Tuesday
Airport ATM,22/02/11,81,350400,65486256,Tuesday
KK Nagar ATM,22/02/11,170,624300,116675427,Tuesday
Christ College ATM,22/02/11,100,370800,69298812,Tuesday
Big Street ATM,23/02/11,31,91900,17175191,Wednesday
Mount Road ATM,23/02/11,142,379700,70962133,Wednesday
Airport ATM,23/02/11,84,434100,81128949,Wednesday
KK Nagar ATM,23/02/11,179,704500,131664005,Wednesday
Christ College ATM,23/02/11,63,265700,49656673,Wednesday
Big Street ATM,24/02/11,30,74700,13960683,Thursday
Mount Road ATM,24/02/11,127,391600,73186124,Thursday
Airport ATM,24/02/11,67,205700,38443273,Thursday
KK Nagar ATM,24/02/11,173,647400,120992586,Thursday
Christ College ATM,24/02/11,76,255600,47769084,Thursday
Big Street ATM,25/02/11,22,33700,6298193,Friday
Mount Road ATM,25/02/11,132,339300,63411777,Friday
Airport ATM,25/02/11,85,291300,54441057,Friday
KK Nagar ATM,25/02/11,178,552700,103294103,Friday
Christ College ATM,25/02/11,70,200500,37471445,Friday
Big Street ATM,26/02/11,23,119600,22352044,Saturday
Mount Road ATM,26/02/11,169,470600,87950434,Saturday
Airport ATM,26/02/11,132,608300,113685187,Saturday
KK Nagar ATM,26/02/11,206,780100,145792889,Saturday
Christ College ATM,26/02/11,91,375800,70233262,Saturday
Big Street ATM,27/02/11,15,18000,3364020,Sunday
Mount Road ATM,27/02/11,7,8100,1513809,Sunday
Airport ATM,27/02/11,91,300000,56067000,Sunday
KK Nagar ATM,27/02/11,76,191700,35826813,Sunday
Christ College ATM,27/02/11,67,283700,53020693,Sunday
Big Street ATM,28/02/11,39,149000,27846610,Monday
Mount Road ATM,28/02/11,157,572800,107050592,Monday
Airport ATM,28/02/11,105,354200,66196438,Monday
KK Nagar ATM,28/02/11,229,960900,179582601,Monday
Christ College ATM,28/02/11,112,398900,74550421,Monday
Big Street ATM,01/03/11,29,105800,19772962,Tuesday
Mount Road ATM,01/03/11,197,730000,136429700,Tuesday
Airport ATM,01/03/11,119,519100,97014599,Tuesday
KK Nagar ATM,01/03/11,223,1041900,194720691,Tuesday
Christ College ATM,01/03/11,92,479800,89669822,Tuesday
Big Street ATM,02/03/11,37,143300,26781337,Wednesday
Mount Road ATM,02/03/11,153,610800,114152412,Wednesday
Airport ATM,02/03/11,116,616800,115273752,Wednesday
KK Nagar ATM,02/03/11,243,1043200,194963648,Wednesday
Christ College ATM,02/03/11,118,638200,119273198,Wednesday
Big Street ATM,03/03/11,29,109100,20389699,Thursday
Mount Road ATM,03/03/11,212,766800,143307252,Thursday
Airport ATM,03/03/11,66,342800,64065892,Thursday
KK Nagar ATM,03/03/11,242,1043500,195019715,Thursday
Christ College ATM,03/03/11,94,405100,75709139,Thursday
Big Street ATM,04/03/11,41,167100,31229319,Friday
Mount Road ATM,04/03/11,203,738900,138093021,Friday
Airport ATM,04/03/11,108,433000,80923370,Friday
KK Nagar ATM,04/03/11,203,718600,134299154,Friday
Christ College ATM,04/03/11,88,423900,79222671,Friday
Big Street ATM,05/03/11,39,116000,21679240,Saturday
Mount Road ATM,05/03/11,254,1005600,187936584,Saturday
Airport ATM,05/03/11,118,585800,109480162,Saturday
KK Nagar ATM,05/03/11,254,751600,140466524,Saturday
Christ College ATM,05/03/11,117,582300,108826047,Saturday
Big Street ATM,06/03/11,42,110200,20595278,Sunday
Mount Road ATM,06/03/11,213,668600,124954654,Sunday
Airport ATM,06/03/11,107,428600,80101054,Sunday
KK Nagar ATM,06/03/11,172,637800,119198442,Sunday
Christ College ATM,06/03/11,76,333400,62309126,Sunday
Big Street ATM,07/03/11,28,111300,20800857,Monday
Mount Road ATM,07/03/11,194,644900,120525361,Monday
Airport ATM,07/03/11,104,409800,76587522,Monday
KK Nagar ATM,07/03/11,229,667100,124674319,Monday
Christ College ATM,07/03/11,74,231800,43321102,Monday
Big Street ATM,08/03/11,45,134400,25118016,Tuesday
Mount Road ATM,08/03/11,218,950400,177620256,Tuesday
Airport ATM,08/03/11,160,670700,125347123,Tuesday
KK Nagar ATM,08/03/11,220,813100,151960259,Tuesday
Christ College ATM,08/03/11,91,323000,60365470,Tuesday
Big Street ATM,09/03/11,32,173100,32350659,Wednesday
Mount Road ATM,09/03/11,197,620900,116040001,Wednesday
Airport ATM,09/03/11,127,641900,119964691,Wednesday
KK Nagar ATM,09/03/11,286,1375800,257123262,Wednesday
Christ College ATM,09/03/11,109,450700,84231323,Wednesday
Big Street ATM,10/03/11,25,127600,23847164,Thursday
Mount Road ATM,10/03/11,132,529900,99033011,Thursday
Airport ATM,10/03/11,113,372600,69635214,Thursday
KK Nagar ATM,10/03/11,205,759900,142017711,Thursday
Christ College ATM,10/03/11,93,385100,71971339,Thursday
Big Street ATM,11/03/11,27,110200,20595278,Friday
Mount Road ATM,11/03/11,146,441100,82437179,Friday
Airport ATM,11/03/11,75,299400,55954866,Friday
KK Nagar ATM,11/03/11,180,514400,96136216,Friday
Christ College ATM,11/03/11,77,312900,58477881,Friday
Big Street ATM,12/03/11,30,82400,15399736,Saturday
Mount Road ATM,12/03/11,156,502900,93986981,Saturday
Airport ATM,12/03/11,132,634000,118488260,Saturday
KK Nagar ATM,12/03/11,196,583700,109087693,Saturday
Christ College ATM,12/03/11,67,262300,49021247,Saturday
Big Street ATM,13/03/11,41,134700,25174083,Sunday
Mount Road ATM,13/03/11,157,301800,56403402,Sunday
Airport ATM,13/03/11,93,355700,66476773,Sunday
KK Nagar ATM,13/03/11,113,282000,52702980,Sunday
Christ College ATM,13/03/11,52,153200,28631548,Sunday
Big Street ATM,14/03/11,25,76100,14222329,Monday
Mount Road ATM,14/03/11,160,566800,105929252,Monday
Airport ATM,14/03/11,100,474700,88716683,Monday
KK Nagar ATM,14/03/11,212,804300,150315627,Monday
Christ College ATM,14/03/11,77,283200,52927248,Monday
Big Street ATM,15/03/11,33,111200,20782168,Tuesday
Mount Road ATM,15/03/11,145,513000,95874570,Tuesday
Airport ATM,15/03/11,94,514500,96154905,Tuesday
KK Nagar ATM,15/03/11,185,758300,141718687,Tuesday
Christ College ATM,15/03/11,61,183900,34369071,Tuesday
Big Street ATM,16/03/11,38,131200,24519968,Wednesday
Mount Road ATM,16/03/11,152,525600,98229384,Wednesday
Airport ATM,16/03/11,95,437300,81726997,Wednesday
KK Nagar ATM,16/03/11,203,835800,156202662,Wednesday
Christ College ATM,16/03/11,61,220200,41153178,Wednesday
Big Street ATM,17/03/11,23,76300,14259707,Thursday
Mount Road ATM,17/03/11,124,395500,73914995,Thursday
Airport ATM,17/03/11,92,380600,71130334,Thursday
KK Nagar ATM,17/03/11,171,579700,108340133,Thursday
Christ College ATM,17/03/11,55,238800,44629332,Thursday
Big Street ATM,18/03/11,27,97400,18203086,Friday
Mount Road ATM,18/03/11,183,533600,99724504,Friday
Airport ATM,18/03/11,83,362900,67822381,Friday
KK Nagar ATM,18/03/11,170,670000,125216300,Friday
Christ College ATM,18/03/11,74,290000,54198100,Friday
Big Street ATM,19/03/11,32,94300,17623727,Saturday
Mount Road ATM,19/03/11,214,544000,101668160,Saturday
Airport ATM,19/03/11,96,355400,66420706,Saturday
KK Nagar ATM,19/03/11,187,567600,106078764,Saturday
Christ College ATM,19/03/11,92,345600,64589184,Saturday
Big Street ATM,20/03/11,6,9200,1719388,Sunday
Mount Road ATM,20/03/11,142,395200,73858928,Sunday
Airport ATM,20/03/11,92,300300,56123067,Sunday
KK Nagar ATM,20/03/11,111,278000,51955420,Sunday
Christ College ATM,20/03/11,48,164400,30724716,Sunday
Big Street ATM,21/03/11,27,99400,18576866,Monday
Mount Road ATM,21/03/11,138,336000,62795040,Monday
Airport ATM,21/03/11,110,517800,96771642,Monday
KK Nagar ATM,21/03/11,219,725500,135588695,Monday
Christ College ATM,21/03/11,60,287700,53768253,Monday
Big Street ATM,22/03/11,27,47600,8895964,Tuesday
Mount Road ATM,22/03/11,145,288500,53917765,Tuesday
Airport ATM,22/03/11,76,259400,48479266,Tuesday
KK Nagar ATM,22/03/11,205,747100,139625519,Tuesday
Christ College ATM,22/03/11,69,250200,46759878,Tuesday
Big Street ATM,23/03/11,15,52800,9867792,Wednesday
Mount Road ATM,23/03/11,154,465300,86959917,Wednesday
Airport ATM,23/03/11,93,480300,89763267,Wednesday
KK Nagar ATM,23/03/11,210,798500,149231665,Wednesday
Christ College ATM,23/03/11,55,237200,44330308,Wednesday
Big Street ATM,24/03/11,16,34000,6354260,Thursday
Mount Road ATM,24/03/11,112,365900,68383051,Thursday
Airport ATM,24/03/11,75,370400,69224056,Thursday
KK Nagar ATM,24/03/11,161,561300,104901357,Thursday
Christ College ATM,24/03/11,61,304000,56814560,Thursday
Big Street ATM,25/03/11,26,37900,7083131,Friday
Mount Road ATM,25/03/11,137,390200,72924478,Friday
Airport ATM,25/03/11,56,231700,43302413,Friday
KK Nagar ATM,25/03/11,176,592900,110807081,Friday
Christ College ATM,25/03/11,52,206500,38592785,Friday
Big Street ATM,26/03/11,17,41300,7718557,Saturday
Mount Road ATM,26/03/11,120,320500,59898245,Saturday
Airport ATM,26/03/11,94,448900,83894921,Saturday
KK Nagar ATM,26/03/11,205,812800,151904192,Saturday
Christ College ATM,26/03/11,62,215100,40200039,Saturday
Big Street ATM,27/03/11,41,88800,16595832,Sunday
Mount Road ATM,27/03/11,108,332700,62178303,Sunday
Airport ATM,27/03/11,98,360300,67336467,Sunday
KK Nagar ATM,27/03/11,117,333100,62253059,Sunday
Christ College ATM,27/03/11,58,286200,53487918,Sunday
Big Street ATM,28/03/11,32,144200,26949538,Monday
Mount Road ATM,28/03/11,128,410200,76662278,Monday
Airport ATM,28/03/11,132,493400,92211526,Monday
KK Nagar ATM,28/03/11,190,578100,108041109,Monday
Christ College ATM,28/03/11,72,263600,49264204,Monday
Big Street ATM,29/03/11,30,108600,20296254,Tuesday
Mount Road ATM,29/03/11,191,538800,100696332,Tuesday
Airport ATM,29/03/11,117,523300,97799537,Tuesday
KK Nagar ATM,29/03/11,202,832200,155529858,Tuesday
Christ College ATM,29/03/11,80,298000,55693220,Tuesday
Big Street ATM,30/03/11,32,110200,20595278,Wednesday
Mount Road ATM,30/03/11,152,475100,88791439,Wednesday
Airport ATM,30/03/11,136,627600,117292164,Wednesday
KK Nagar ATM,30/03/11,200,849400,158744366,Wednesday
Christ College ATM,30/03/11,100,399600,74681244,Wednesday
Big Street ATM,31/03/11,39,131800,24632102,Thursday
Mount Road ATM,31/03/11,159,456500,85315285,Thursday
Airport ATM,31/03/11,127,629200,117591188,Thursday
KK Nagar ATM,31/03/11,225,962300,179844247,Thursday
Christ College ATM,31/03/11,96,514200,96098838,Thursday
Big Street ATM,01/04/11,43,134700,25174083,Friday
Mount Road ATM,01/04/11,142,464800,86866472,Friday
Airport ATM,01/04/11,96,480700,89838023,Friday
KK Nagar ATM,01/04/11,184,557300,104153797,Friday
Christ College ATM,01/04/11,75,336600,62907174,Friday
Big Street ATM,02/04/11,31,130500,24389145,Saturday
Mount Road ATM,02/04/11,217,776400,145101396,Saturday
Airport ATM,02/04/11,126,555800,103873462,Saturday
KK Nagar ATM,02/04/11,193,728200,136093298,Saturday
Christ College ATM,02/04/11,71,285100,53282339,Saturday
Big Street ATM,03/04/11,56,237800,44442442,Sunday
Mount Road ATM,03/04/11,162,445500,83259495,Sunday
Airport ATM,03/04/11,122,580000,108396200,Sunday
KK Nagar ATM,03/04/11,155,571200,106751568,Sunday
Christ College ATM,03/04/11,82,333000,62234370,Sunday
Big Street ATM,04/04/11,20,101000,18875890,Monday
Mount Road ATM,04/04/11,178,608500,113722565,Monday
Airport ATM,04/04/11,70,412900,77166881,Monday
KK Nagar ATM,04/04/11,179,690500,129047545,Monday
Christ College ATM,04/04/11,71,295600,55244684,Monday
Big Street ATM,05/04/11,39,202300,37807847,Tuesday
Mount Road ATM,05/04/11,189,734200,137214638,Tuesday
Airport ATM,05/04/11,93,406000,75877340,Tuesday
KK Nagar ATM,05/04/11,239,1013600,189431704,Tuesday
Christ College ATM,05/04/11,99,423500,79147915,Tuesday
Big Street ATM,06/04/11,33,115400,21567106,Wednesday
Mount Road ATM,06/04/11,194,638500,119329265,Wednesday
Airport ATM,06/04/11,128,696000,130075440,Wednesday
KK Nagar ATM,06/04/11,245,1007100,188216919,Wednesday
Christ College ATM,06/04/11,106,388700,72644143,Wednesday
Big Street ATM,07/04/11,23,109800,20520522,Thursday
Mount Road ATM,07/04/11,183,688000,128580320,Thursday
Airport ATM,07/04/11,125,637400,119123686,Thursday
KK Nagar ATM,07/04/11,217,1028000,192122920,Thursday
Christ College ATM,07/04/11,86,388600,72625454,Thursday
Big Street ATM,08/04/11,28,122500,22894025,Friday
Mount Road ATM,08/04/11,193,774300,144708927,Friday
Airport ATM,08/04/11,49,209400,39134766,Friday
